n1=32 n2=32 n3=32 nreps=100 num_threads=24 HALF_LENGTH=4
n1_thrd_block=32 n2_thrd_block=1 n3_thrd_block=124
allocating prev, next and vel: total 0.375046 Mbytes
rank:0(24 18 0):0.202120
rank:0(25 18 0):-0.714898
rank:0(26 18 0):-0.974642
rank:0(27 18 0):-0.338305
rank:0(28 18 0):0.609068
rank:0(29 18 0):0.996467
rank:0(30 18 0):0.467719
rank:0(31 18 0):-0.491048
rank:0(0 19 0):0.997799
rank:0(1 19 0):0.594909
rank:0(2 19 0):-0.354938
rank:0(3 19 0):-0.978457
rank:0(4 19 0):-0.702386
rank:0(5 19 0):0.219455
rank:0(6 19 0):0.939530
rank:0(7 19 0):0.795806
rank:0(8 19 0):-0.079579
rank:0(9 19 0):-0.881799
rank:0(10 19 0):-0.873297
rank:0(11 19 0):-0.061890
rank:0(12 19 0):0.806418
rank:0(13 19 0):0.933310
rank:0(14 19 0):0.202120
rank:0(15 19 0):-0.714898
rank:0(16 19 0):-0.974642
rank:0(17 19 0):-0.338305
rank:0(18 19 0):0.609068
rank:0(19 19 0):0.996467
rank:0(20 19 0):0.467719
rank:0(21 19 0):-0.491048
rank:0(22 19 0):-0.998347
rank:0(23 19 0):-0.587771
rank:0(24 19 0):0.363199
rank:0(25 19 0):0.980246
rank:0(26 19 0):0.696059
rank:0(27 19 0):-0.228082
rank:0(28 19 0):-0.942525
rank:0(29 19 0):-0.790415
rank:0(30 19 0):0.088399
rank:0(31 19 0):0.885939
rank:0(0 20 0):-0.873297
rank:0(1 20 0):-0.061890
rank:0(2 20 0):0.806418
rank:0(3 20 0):0.933310
rank:0(4 20 0):0.202120
rank:0(5 20 0):-0.714898
rank:0(6 20 0):-0.974642
rank:0(7 20 0):-0.338305
rank:0(8 20 0):0.609068
rank:0(9 20 0):0.996467
rank:0(10 20 0):0.467719
rank:0(11 20 0):-0.491048
rank:0(12 20 0):-0.998347
rank:0(13 20 0):-0.587771
rank:0(14 20 0):0.363199
rank:0(15 20 0):0.980246
rank:0(16 20 0):0.696059
rank:0(17 20 0):-0.228082
rank:0(18 20 0):-0.942525
rank:0(19 20 0):-0.790415
rank:0(20 20 0):0.088399
rank:0(21 20 0):0.885939
rank:0(22 20 0):0.868951
rank:0(23 20 0):0.053053
rank:0(24 20 0):-0.811621
rank:0(25 20 0):-0.930095
rank:0(26 20 0):-0.193444
rank:0(27 20 0):0.721059
rank:0(28 20 0):0.972623
rank:0(29 20 0):0.329962
rank:0(30 20 0):-0.616064
rank:0(31 20 0):-0.995684
rank:0(0 21 0):0.467719
rank:0(1 21 0):-0.491048
rank:0(2 21 0):-0.998347
rank:0(3 21 0):-0.587771
rank:0(4 21 0):0.363199
rank:0(5 21 0):0.980246
rank:0(6 21 0):0.696059
rank:0(7 21 0):-0.228082
rank:0(8 21 0):-0.942525
rank:0(9 21 0):-0.790415
rank:0(10 21 0):0.088399
rank:0(11 21 0):0.885939
rank:0(12 21 0):0.868951
rank:0(13 21 0):0.053053
rank:0(14 21 0):-0.811621
rank:0(15 21 0):-0.930095
rank:0(16 21 0):-0.193444
rank:0(17 21 0):0.721059
rank:0(18 21 0):0.972623
rank:0(19 21 0):0.329962
rank:0(20 21 0):-0.616064
rank:0(21 21 0):-0.995684
rank:0(22 21 0):-0.459877
rank:0(23 21 0):0.498739
rank:0(24 21 0):0.998817
rank:0(25 21 0):0.580587
rank:0(26 21 0):-0.371432
rank:0(27 21 0):-0.981958
rank:0(28 21 0):-0.689676
rank:0(29 21 0):0.236691
rank:0(30 21 0):0.945445
rank:0(31 21 0):0.784962
